time;V(/vin);V(/vout);
0.100096;3.40066;-0.666342;
0.100096;3.40997;-0.658207;
0.100097;3.41927;-0.650069;
0.100097;3.42856;-0.641929;
0.100097;3.43783;-0.633787;
0.100097;3.44709;-0.625643;
0.100098;3.45634;-0.617496;
0.100098;3.46558;-0.609347;
0.100098;3.47481;-0.601197;
0.100099;3.48402;-0.593043;
0.100099;3.49323;-0.584888;
0.100099;3.50241;-0.576731;
0.1001;3.51159;-0.568572;
0.1001;3.52075;-0.56041;
0.1001;3.52991;-0.552247;
0.1001;3.53905;-0.544082;
0.100101;3.54817;-0.535915;
0.100101;3.55729;-0.527745;
0.100101;3.56639;-0.519574;
0.100102;3.57548;-0.511402;
0.100102;3.58455;-0.503227;
0.100102;3.59362;-0.495051;
0.100103;3.60267;-0.486872;
0.100103;3.6117;-0.478692;
0.100103;3.62073;-0.470511;
0.100103;3.62974;-0.462327;
0.100104;3.63874;-0.454142;
0.100104;3.64772;-0.445956;
0.100104;3.6567;-0.437768;
0.100105;3.66566;-0.429578;
0.100105;3.67461;-0.421387;
0.100105;3.68354;-0.413194;
0.100106;3.69246;-0.405;
0.100106;3.70137;-0.396804;
0.100106;3.71026;-0.388607;
0.100106;3.71914;-0.380409;
0.100107;3.72801;-0.372209;
0.100107;3.73687;-0.364008;
0.100107;3.74571;-0.355806;
0.100108;3.75454;-0.347602;
0.100108;3.76335;-0.339397;
0.100108;3.77215;-0.331191;
0.100109;3.78094;-0.322984;
0.100109;3.78972;-0.314775;
0.100109;3.79848;-0.306566;
0.100109;3.80723;-0.298355;
0.10011;3.81596;-0.290143;
0.10011;3.82468;-0.281931;
0.10011;3.83339;-0.273717;
0.100111;3.84208;-0.265502;
0.100111;3.85076;-0.257287;
0.100111;3.85943;-0.24907;
0.100112;3.86808;-0.240853;
0.100112;3.87672;-0.232634;
0.100112;3.88535;-0.224415;
0.100112;3.89396;-0.216195;
0.100113;3.90256;-0.207975;
0.100113;3.91114;-0.199753;
0.100113;3.91971;-0.191531;
0.100114;3.92826;-0.183308;
0.100114;3.93681;-0.175085;
0.100114;3.94533;-0.166861;
0.100115;3.95385;-0.158636;
0.100115;3.96235;-0.150411;
0.100115;3.97083;-0.142185;
0.100115;3.97931;-0.133959;
0.100116;3.98776;-0.125732;
0.100116;3.99621;-0.117505;
0.100116;4.00463;-0.109277;
0.100117;4.01305;-0.101049;
0.100117;4.02145;-0.0928207;
0.100117;4.02984;-0.084592;
0.100118;4.03821;-0.076363;
0.100118;4.04657;-0.0681338;
0.100118;4.05491;-0.0599043;
0.100118;4.06324;-0.0516745;
0.100119;4.07155;-0.0434446;
0.100119;4.07985;-0.0352146;
0.100119;4.08814;-0.0269844;
0.10012;4.09641;-0.0187541;
0.10012;4.10467;-0.0105237;
0.10012;4.11291;-0.00229334;
0.100121;4.12113;0.00593706;
0.100121;4.12935;0.0141674;
0.100121;4.13754;0.0223978;
0.100121;4.14573;0.030628;
0.100122;4.1539;0.0388581;
0.100122;4.16205;0.0470881;
0.100122;4.17019;0.055318;
0.100123;4.17831;0.0635476;
0.100123;4.18642;0.071777;
0.100123;4.19452;0.0800062;
0.100124;4.2026;0.088235;
0.100124;4.21066;0.0964636;
0.100124;4.21871;0.104692;
0.100124;4.22674;0.11292;
0.100125;4.23476;0.121147;
0.100125;4.24277;0.129374;
0.100125;4.25076;0.137601;
0.100126;4.25873;0.145827;
0.100126;4.26669;0.154052;
0.100126;4.27464;0.162277;
0.100127;4.28256;0.170502;
0.100127;4.29048;0.178725;
0.100127;4.29838;0.186949;
0.100127;4.30626;0.195171;
0.100128;4.31413;0.203393;
0.100128;4.32198;0.211614;
0.100128;4.32982;0.219834;
0.100129;4.33764;0.228054;
0.100129;4.34544;0.236273;
0.100129;4.35324;0.244491;
0.10013;4.36101;0.252708;
0.10013;4.36877;0.260924;
0.10013;4.37651;0.269139;
0.10013;4.38424;0.277353;
0.100131;4.39196;0.285567;
0.100131;4.39965;0.293779;
0.100131;4.40734;0.30199;
0.100132;4.415;0.3102;
0.100132;4.42265;0.318409;
0.100132;4.43029;0.326617;
0.100133;4.43791;0.334824;
0.100133;4.44551;0.34303;
0.100133;4.4531;0.351234;
0.100133;4.46067;0.359437;
0.100134;4.46823;0.367639;
0.100134;4.47577;0.375839;
0.100134;4.48329;0.384039;
0.100135;4.4908;0.392236;
0.100135;4.49829;0.400433;
0.100135;4.50577;0.408628;
0.100136;4.51323;0.416821;
