time;V(/vout);
0.0172699;0.286099;
0.0173419;0.275982;
0.0174139;0.266222;
0.0174859;0.256808;
0.0175579;0.247726;
0.0176299;0.238966;
0.0177019;0.230515;
0.0177739;0.222363;
0.0178459;0.2145;
0.0179179;0.206914;
0.0179899;0.199597;
0.0180619;0.192538;
0.0181339;0.18573;
0.0182059;0.179162;
0.0182779;0.172826;
0.0183499;0.166714;
0.0184219;0.160819;
0.0184939;0.155131;
0.0185659;0.149645;
0.0186379;0.144353;
0.0187099;0.139249;
0.0187819;0.134324;
0.0188539;0.129574;
0.0189259;0.124992;
0.0189979;0.120572;
0.0190699;0.116308;
0.0191419;0.112195;
0.0192139;0.108227;
0.0192859;0.1044;
0.0193579;0.100708;
0.0194299;0.0971467;
0.0195019;0.0937112;
0.0195739;0.0903973;
0.0196459;0.0872005;
0.0197179;0.0841168;
0.0197899;0.0811422;
0.0198619;0.0782727;
0.0199339;0.0755047;
0.0200059;0.0728346;
0.0200779;0.0702589;
0.0201499;0.0677743;
0.0202219;0.0653776;
0.0202939;0.0630656;
0.0203659;0.0608354;
0.0204379;0.058684;
0.0205099;0.0566088;
0.0205819;0.0546069;
0.0206539;0.0526758;
0.0207259;0.050813;
0.0207979;0.0490161;
0.0208699;0.0472827;
0.0209419;0.0456106;
0.0210139;0.0439977;
0.0210859;0.0424418;
0.0211579;0.0409409;
0.0212299;0.0394931;
0.0213019;0.0380964;
0.0213739;0.0367492;
0.0214459;0.0354496;
0.0215179;0.034196;
0.0215899;0.0329867;
0.0216619;0.0318202;
0.0217339;0.0306949;
0.0218059;0.0296095;
0.0218779;0.0285624;
0.0219499;0.0275523;
0.0220219;0.026578;
0.0220939;0.0256381;
0.0221659;0.0247314;
0.0222379;0.0238568;
0.0223099;0.0230132;
0.0223819;0.0221993;
0.0224539;0.0214143;
0.0225259;0.020657;
0.0225979;0.0199265;
0.0226699;0.0192218;
0.0227419;0.0185421;
0.0228139;0.0178864;
0.0228859;0.0172539;
0.0229579;0.0166437;
0.0230299;0.0160551;
0.0231019;0.0154874;
0.0231739;0.0149397;
0.0232459;0.0144113;
0.0233179;0.0139017;
0.0233899;0.0134101;
0.0234619;0.0129359;
0.0235339;0.0124784;
0.0236059;0.0120371;
0.0236779;0.0116115;
0.0237499;0.0112008;
0.0238219;0.0108047;
0.0238939;0.0104226;
0.0239659;0.0100541;
0.024;0.00988409;
0.024;0.00988409;
0.024;0.00988409;
0.024;0.00988409;
0.024;0.00988409;
0.024;0.00988409;
0.024;0.00988409;
0.024;0.00988409;
0.024;0.00988409;
0.024;0.0098841;
0.024;0.0098841;
0.024;0.00988411;
0.024;0.00988413;
0.024;0.00988417;
0.024;0.00988425;
0.024;0.00988442;
0.024;0.00988474;
0.024;0.0098854;
0.024;0.00988671;
0.024;0.00988932;
0.024;0.00989455;
0.024;0.00990501;
0.024;0.00992593;
0.024;0.00996777;
0.0240001;0.0100514;
0.0240002;0.0102188;
0.0240003;0.0105535;
0.0240007;0.0112227;
0.0240013;0.0125609;
0.0240027;0.0152359;
0.0240054;0.0205806;
0.0240107;0.0312484;
0.0240215;0.0524984;
0.0240429;0.094658;
0.0240859;0.177634;
0.0241579;0.312806;
0.0242299;0.443198;
0.0243019;0.568978;
0.0243739;0.690311;
0.0244459;0.807353;
0.0245179;0.920256;
0.0245899;1.02917;
0.0246619;1.13423;
0.0247339;1.23557;
0.0248059;1.33333;
0.0248779;1.42763;
0.0249499;1.5186;
0.0250219;1.60635;
0.0250939;1.691;
0.0251659;1.77265;
0.0252379;1.85142;
0.0253099;1.9274;
0.0253819;2.00069;
0.0254539;2.0714;
0.0255259;2.1396;
0.0255979;2.20539;
0.0256699;2.26885;
0.0257419;2.33007;
0.0258139;2.38913;
0.0258859;2.44609;
0.0259579;2.50104;
0.0260299;2.55405;
0.0261019;2.60519;
0.0261739;2.65451;
0.0262459;2.70209;
0.0263179;2.74799;
0.0263899;2.79227;
0.0264619;2.83498;
0.0265339;2.87618;
0.0266059;2.91592;
0.0266779;2.95425;
0.0267499;2.99124;
0.0268219;3.02691;
0.0268939;3.06132;
0.0269659;3.09452;
0.0270379;3.12654;
0.0271099;3.15743;
0.0271819;3.18722;
0.0272539;3.21596;
0.0273259;3.24369;
0.0273979;3.27044;
0.0274699;3.29624;
0.0275419;3.32112;
0.0276139;3.34513;
0.0276859;3.36829;
0.0277579;3.39063;
0.0278299;3.41218;
0.0279019;3.43297;
0.0279739;3.45302;
0.0280459;3.47236;
0.0281179;3.49102;
0.0281899;3.50902;
0.0282619;3.52638;
0.0283339;3.54313;
0.0284059;3.55929;
0.0284779;3.57487;
0.0285499;3.58991;
0.0286219;3.60441;
0.0286939;3.6184;
0.0287659;3.63189;
0.0288379;3.64491;
0.0289099;3.65747;
0.0289819;3.66958;
0.0290539;3.68127;
0.0291259;3.69254;
0.0291979;3.70341;
0.0292699;3.7139;
0.0293419;3.72402;
0.0294139;3.73378;
0.0294859;3.74319;
0.0295579;3.75227;
0.0296299;3.76103;
0.0297019;3.76948;
0.0297739;3.77764;
0.0298459;3.7855;
0.0299179;3.79308;
0.0299899;3.8004;
0.0300619;3.80746;
0.0301339;3.81427;
0.0302059;3.82084;
0.0302779;3.82717;
0.0303499;3.83328;
0.0304219;3.83918;
0.0304939;3.84487;
0.0305659;3.85035;
0.0306379;3.85565;
0.0307099;3.86075;
0.0307819;3.86567;
0.0308539;3.87043;
0.0309259;3.87501;
0.0309979;3.87943;
0.0310699;3.88369;
0.0311419;3.8878;
0.0312139;3.89177;
0.0312859;3.8956;
0.0313579;3.89929;
0.0314299;3.90285;
0.0315019;3.90629;
0.0315739;3.9096;
0.0316459;3.9128;
0.0317179;3.91588;
0.0317899;3.91886;
0.0318619;3.92173;
0.0319339;3.92449;
0.0320059;3.92716;
0.0320779;3.92974;
0.0321499;3.93223;
0.0322219;3.93462;
0.0322939;3.93693;
0.0323659;3.93916;
0.0324379;3.94132;
0.0325099;3.94339;
0.0325819;3.94539;
0.0326539;3.94732;
0.0327259;3.94919;
0.0327979;3.95098;
0.0328699;3.95272;
0.0329419;3.95439;
0.0330139;3.956;
0.0330859;3.95756;
0.0331579;3.95906;
0.0332299;3.96051;
0.0333019;3.9619;
0.0333739;3.96325;
0.0334459;3.96455;
0.0335179;3.9658;
0.0335899;3.96701;
0.0336619;3.96818;
0.0337339;3.9693;
0.0338059;3.97039;
0.0338779;3.97144;
0.0339499;3.97245;
0.0340219;3.97342;
0.0340939;3.97436;
0.0341659;3.97527;
0.0342379;3.97614;
0.0343099;3.97699;
0.0343819;3.9778;
0.0344539;3.97859;
0.0345259;3.97934;
0.0345979;3.98007;
0.0346699;3.98078;
0.0347419;3.98146;
0.0348139;3.98211;
0.0348859;3.98275;
0.0349579;3.98336;
0.0350299;3.98394;
0.0351019;3.98451;
0.0351739;3.98506;
0.0352459;3.98559;
0.0353179;3.9861;
0.0353899;3.98659;
0.0354619;3.98706;
0.0355339;3.98752;
0.0356059;3.98796;
0.0356779;3.98839;
0.0357499;3.9888;
0.0358219;3.9892;
0.0358939;3.98958;
0.0359659;3.98995;
0.036;3.99012;
0.036;3.99012;
0.036;3.99012;
0.036;3.99012;
0.036;3.99012;
0.036;3.99012;
0.036;3.99012;
0.036;3.99012;
0.036;3.99012;
0.036;3.99012;
0.036;3.99012;
0.036;3.99012;
0.036;3.99012;
0.036;3.99012;
0.036;3.99012;
0.036;3.99012;
0.036;3.99012;
0.036;3.99011;
0.036;3.99011;
0.036;3.99011;
0.036;3.99011;
0.036;3.99009;
0.036;3.99007;
0.036;3.99003;
0.0360001;3.98995;
0.0360002;3.98978;
0.0360003;3.98945;
0.0360007;3.98878;
0.0360013;3.98744;
0.0360027;3.98476;
0.0360054;3.97942;
0.0360107;3.96875;
0.0360215;3.9475;
0.0360429;3.90534;
0.0360859;3.82237;
0.0361579;3.68719;
0.0362299;3.5568;
0.0363019;3.43102;
0.0363739;3.30969;
0.0364459;3.19265;
0.0365179;3.07974;
0.0365899;2.97083;
0.0366619;2.86577;
0.0367339;2.76443;
0.0368059;2.66667;
0.0368779;2.57237;
0.0369499;2.4814;
0.0370219;2.39365;
0.0370939;2.309;
0.0371659;2.22735;
0.0372379;2.14858;
0.0373099;2.0726;
0.0373819;1.99931;
0.0374539;1.9286;
0.0375259;1.8604;
0.0375979;1.79461;
0.0376699;1.73115;
0.0377419;1.66993;
0.0378139;1.61087;
0.0378859;1.55391;
0.0379579;1.49896;
0.0380299;1.44595;
0.0381019;1.39481;
0.0381739;1.34549;
0.0382459;1.29791;
0.0383179;1.25201;
0.0383899;1.20773;
0.0384619;1.16502;
0.0385339;1.12382;
0.0386059;1.08408;
0.0386779;1.04575;
0.0387499;1.00876;
0.0388219;0.973091;
0.0388939;0.938679;
0.0389659;0.905484;
0.0390379;0.873463;
0.0391099;0.842574;
0.0391819;0.812778;
0.0392539;0.784035;
0.0393259;0.756309;
0.0393979;0.729563;
0.0394699;0.703763;
0.0395419;0.678876;
0.0396139;0.654868;
0.0396859;0.63171;
0.0397579;0.609371;
0.0398299;0.587821;
0.0399019;0.567034;
0.0399739;0.546981;
0.0400459;0.527638;
0.0401179;0.508979;
0.0401899;0.49098;
0.0402619;0.473617;
0.0403339;0.456868;
0.0404059;0.440712;
0.0404779;0.425127;
0.0405499;0.410093;
0.0406219;0.395591;
0.0406939;0.381601;
0.0407659;0.368106;
0.0408379;0.355089;
0.0409099;0.342532;
0.0409819;0.330419;
0.0410539;0.318734;
0.0411259;0.307462;
0.0411979;0.296589;
0.0412699;0.286101;
0.0413419;0.275984;
0.0414139;0.266224;
0.0414859;0.256809;
0.0415579;0.247728;
0.0416299;0.238967;
0.0417019;0.230516;
0.0417739;0.222364;
0.0418459;0.214501;
0.0419179;0.206915;
0.0419899;0.199598;
0.0420619;0.19254;
0.0421339;0.185731;
0.0422059;0.179163;
0.0422779;0.172827;
0.0423499;0.166715;
0.0424219;0.16082;
0.0424939;0.155132;
0.0425659;0.149646;
0.0426379;0.144354;
0.0427099;0.139249;
0.0427819;0.134325;
0.0428539;0.129575;
0.0429259;0.124993;
0.0429979;0.120573;
0.0430699;0.116309;
0.0431419;0.112196;
0.0432139;0.108228;
0.0432859;0.104401;
0.0433579;0.100709;
0.0434299;0.0971473;
0.0435019;0.0937118;
0.0435739;0.0903979;
0.0436459;0.0872011;
0.0437179;0.0841173;
0.0437899;0.0811427;
0.0438619;0.0782732;
0.0439339;0.0755052;
0.0440059;0.072835;
0.0440779;0.0702593;
0.0441499;0.0677747;
0.0442219;0.065378;
0.0442939;0.063066;
0.0443659;0.0608358;
0.0444379;0.0586844;
0.0445099;0.0566091;
0.0445819;0.0546072;
0.0446539;0.0526761;
0.0447259;0.0508133;
0.0447979;0.0490164;
0.0448699;0.047283;
0.0449419;0.0456109;
0.0450139;0.0439979;
0.0450859;0.042442;
0.0451579;0.0409411;
0.0452299;0.0394933;
0.0453019;0.0380967;
0.0453739;0.0367495;
0.0454459;0.0354499;
0.0455179;0.0341962;
0.0455899;0.0329869;
0.0456619;0.0318204;
0.0457339;0.0306951;
0.0458059;0.0296096;
0.0458779;0.0285625;
0.0459499;0.0275525;
0.0460219;0.0265781;
0.0460939;0.0256382;
0.0461659;0.0247316;
0.0462379;0.023857;
0.0463099;0.0230133;
0.0463819;0.0221995;
0.0464539;0.0214144;
0.0465259;0.0206571;
0.0465979;0.0199266;
0.0466699;0.019222;
0.0467419;0.0185422;
0.0468139;0.0178865;
0.0468859;0.017254;
0.0469579;0.0166438;
0.0470299;0.0160552;
0.0471019;0.0154874;
0.0471739;0.0149398;
0.0472459;0.0144114;
0.0473179;0.0139018;
0.0473899;0.0134102;
0.0474619;0.012936;
0.0475339;0.0124785;
0.0476059;0.0120372;
0.0476779;0.0116115;
0.0477499;0.0112009;
0.0478219;0.0108048;
0.0478939;0.0104227;
0.0479659;0.0100541;
0.048;0.00988415;
0.048;0.00988415;
0.048;0.00988415;
0.048;0.00988415;
0.048;0.00988415;
0.048;0.00988415;
0.048;0.00988415;
0.048;0.00988415;
0.048;0.00988415;
0.048;0.00988416;
0.048;0.00988416;
0.048;0.00988417;
0.048;0.00988419;
0.048;0.00988423;
0.048;0.00988431;
0.048;0.00988448;
0.048;0.00988481;
0.048;0.00988546;
0.048;0.00988677;
0.048;0.00988938;
0.048;0.00989461;
0.048;0.00990507;
0.048;0.00992599;
0.048;0.00996783;
0.0480001;0.0100515;
0.0480002;0.0102189;
0.0480003;0.0105535;
0.0480007;0.0112228;
0.0480013;0.012561;
0.0480027;0.015236;
0.0480054;0.0205807;
0.0480107;0.0312485;
0.0480215;0.0524985;
0.0480429;0.0946581;
0.0480859;0.177634;
0.0481579;0.312806;
0.0482299;0.443198;
0.0483019;0.568978;
0.0483739;0.690311;
0.0484459;0.807353;
0.0485179;0.920256;
0.0485899;1.02917;
0.0486619;1.13423;
0.0487339;1.23557;
0.0488059;1.33333;
0.0488779;1.42763;
0.0489499;1.5186;
0.0490219;1.60635;
0.0490939;1.691;
0.0491659;1.77265;
0.0492379;1.85142;
0.0493099;1.9274;
0.0493819;2.00069;
0.0494539;2.0714;
0.0495259;2.1396;
0.0495979;2.20539;
