v-sweep;V(/vin);V(/vout);
-2.74;-2.74;-5.31679e-05;
-2.73;-2.73;-5.31678e-05;
-2.72;-2.72;-5.31678e-05;
-2.71;-2.71;-5.31678e-05;
-2.7;-2.7;-5.31678e-05;
-2.69;-2.69;-5.31678e-05;
-2.68;-2.68;-5.31678e-05;
-2.67;-2.67;-5.31678e-05;
-2.66;-2.66;-5.31677e-05;
-2.65;-2.65;-5.31677e-05;
-2.64;-2.64;-5.31677e-05;
-2.63;-2.63;-5.31677e-05;
-2.62;-2.62;-5.31677e-05;
-2.61;-2.61;-5.31677e-05;
-2.6;-2.6;-5.31676e-05;
-2.59;-2.59;-5.31676e-05;
-2.58;-2.58;-5.31676e-05;
-2.57;-2.57;-5.31676e-05;
-2.56;-2.56;-5.31676e-05;
-2.55;-2.55;-5.31676e-05;
-2.54;-2.54;-5.31675e-05;
-2.53;-2.53;-5.31675e-05;
-2.52;-2.52;-5.31675e-05;
-2.51;-2.51;-5.31675e-05;
-2.5;-2.5;-5.31675e-05;
-2.49;-2.49;-5.31674e-05;
-2.48;-2.48;-5.31674e-05;
-2.47;-2.47;-5.31674e-05;
-2.46;-2.46;-5.31674e-05;
-2.45;-2.45;-5.31674e-05;
-2.44;-2.44;-5.31674e-05;
-2.43;-2.43;-5.31673e-05;
-2.42;-2.42;-5.31673e-05;
-2.41;-2.41;-5.31673e-05;
-2.4;-2.4;-5.31673e-05;
-2.39;-2.39;-5.31673e-05;
-2.38;-2.38;-5.31672e-05;
-2.37;-2.37;-5.31672e-05;
-2.36;-2.36;-5.31672e-05;
-2.35;-2.35;-5.31672e-05;
-2.34;-2.34;-5.31672e-05;
-2.33;-2.33;-5.31671e-05;
-2.32;-2.32;-5.31671e-05;
-2.31;-2.31;-5.31671e-05;
-2.3;-2.3;-5.31671e-05;
-2.29;-2.29;-5.31671e-05;
-2.28;-2.28;-5.3167e-05;
-2.27;-2.27;-5.3167e-05;
-2.26;-2.26;-5.3167e-05;
-2.25;-2.25;-5.3167e-05;
