time;V(/vd);V(/vrsh);
0.100789;1.04995;0.370937;
0.100792;1.05166;0.372422;
0.100795;1.05338;0.373906;
0.100798;1.05509;0.375389;
0.100801;1.0568;0.37687;
0.100804;1.0585;0.378349;
0.100807;1.0602;0.379827;
0.10081;1.06191;0.381304;
0.100813;1.0636;0.382779;
0.100816;1.0653;0.384252;
0.100819;1.06699;0.385724;
0.100822;1.06869;0.387195;
0.100825;1.07038;0.388664;
0.100828;1.07206;0.390132;
0.100831;1.07375;0.391597;
0.100834;1.07543;0.393062;
0.100837;1.07711;0.394525;
0.10084;1.07879;0.395986;
0.100843;1.08046;0.397446;
0.100846;1.08214;0.398904;
0.100849;1.08381;0.400361;
0.100852;1.08548;0.401816;
0.100855;1.08714;0.403269;
0.100858;1.08881;0.404721;
0.100861;1.09047;0.406171;
0.100864;1.09213;0.40762;
0.100867;1.09378;0.409067;
0.10087;1.09544;0.410512;
0.100873;1.09709;0.411956;
0.100876;1.09874;0.413399;
0.100879;1.10039;0.414839;
0.100882;1.10203;0.416278;
0.100885;1.10368;0.417715;
0.100888;1.10532;0.419151;
0.100891;1.10695;0.420585;
0.100894;1.10859;0.422018;
0.100897;1.11022;0.423448;
0.1009;1.11186;0.424877;
0.100903;1.11348;0.426305;
0.100906;1.11511;0.42773;
0.100909;1.11674;0.429155;
0.100912;1.11836;0.430577;
0.100915;1.11998;0.431998;
0.100918;1.12159;0.433416;
0.100921;1.12321;0.434834;
0.100924;1.12482;0.436249;
0.100927;1.12643;0.437663;
0.10093;1.12804;0.439075;
0.100933;1.12964;0.440486;
0.100936;1.13125;0.441894;
0.100939;1.13285;0.443301;
0.100942;1.13445;0.444706;
0.100945;1.13604;0.44611;
0.100948;1.13764;0.447512;
0.100951;1.13923;0.448911;
0.100954;1.14081;0.45031;
0.100957;1.1424;0.451706;
0.10096;1.14399;0.453101;
0.100963;1.14557;0.454494;
0.100966;1.14715;0.455885;
0.100969;1.14872;0.457274;
0.100972;1.1503;0.458661;
0.100975;1.15187;0.460047;
0.100978;1.15344;0.461431;
0.100981;1.15501;0.462813;
0.100984;1.15657;0.464193;
0.100987;1.15813;0.465572;
0.10099;1.15969;0.466948;
0.100993;1.16125;0.468323;
0.100996;1.16281;0.469696;
0.100999;1.16436;0.471067;
0.101002;1.16591;0.472437;
0.101005;1.16746;0.473804;
0.101008;1.169;0.47517;
0.101011;1.17055;0.476533;
0.101014;1.17209;0.477895;
0.101017;1.17362;0.479255;
0.10102;1.17516;0.480613;
0.101023;1.17669;0.481969;
0.101026;1.17822;0.483324;
0.101029;1.17975;0.484676;
0.101032;1.18128;0.486027;
0.101035;1.1828;0.487375;
0.101038;1.18432;0.488722;
0.101041;1.18584;0.490067;
0.101044;1.18736;0.49141;
0.101047;1.18887;0.492751;
0.10105;1.19038;0.49409;
0.101053;1.19189;0.495427;
0.101056;1.1934;0.496762;
0.101059;1.1949;0.498095;
0.101062;1.1964;0.499426;
0.101065;1.1979;0.500756;
0.101068;1.1994;0.502083;
0.101071;1.20089;0.503409;
0.101074;1.20238;0.504732;
0.101077;1.20387;0.506054;
0.10108;1.20536;0.507373;
0.101083;1.20684;0.508691;
0.101086;1.20833;0.510006;
0.101089;1.2098;0.51132;
0.101092;1.21128;0.512631;
0.101095;1.21276;0.513941;
0.101098;1.21423;0.515248;
0.101101;1.2157;0.516554;
0.101104;1.21716;0.517857;
0.101107;1.21863;0.519159;
0.10111;1.22009;0.520458;
0.101113;1.22155;0.521756;
0.101116;1.223;0.523051;
0.101119;1.22446;0.524344;
0.101122;1.22591;0.525636;
0.101125;1.22736;0.526925;
0.101128;1.2288;0.528212;
0.101131;1.23025;0.529497;
0.101134;1.23169;0.53078;
0.101137;1.23313;0.532061;
0.10114;1.23456;0.53334;
0.101143;1.236;0.534617;
0.101146;1.23743;0.535892;
0.101149;1.23886;0.537165;
0.101152;1.24028;0.538435;
0.101155;1.2417;0.539704;
0.101158;1.24313;0.54097;
0.101161;1.24454;0.542235;
0.101164;1.24596;0.543497;
0.101167;1.24737;0.544757;
0.10117;1.24878;0.546015;
0.101173;1.25019;0.547271;
0.101176;1.25159;0.548524;
0.101179;1.253;0.549776;
0.101182;1.2544;0.551025;
0.101185;1.25579;0.552273;
