x1 time x2 v(/vin) x3 v(/vout)
Step Information:
 4.52542230e-03  4.52542230e-03  4.52542230e-03  5.94520779e+00  4.52542230e-03  5.45864587e+00 
 4.58942230e-03  4.58942230e-03  4.58942230e-03  5.92395987e+00  4.58942230e-03  5.45532729e+00 
 4.65342230e-03  4.65342230e-03  4.65342230e-03  5.89926360e+00  4.65342230e-03  5.45093360e+00 
 4.71742230e-03  4.71742230e-03  4.71742230e-03  5.87113333e+00  4.71742230e-03  5.44571801e+00 
 4.78142230e-03  4.78142230e-03  4.78142230e-03  5.83958545e+00  4.78142230e-03  5.43990734e+00 
 4.84542230e-03  4.84542230e-03  4.84542230e-03  5.80463831e+00  4.84542230e-03  5.43369129e+00 
 4.90942230e-03  4.90942230e-03  4.90942230e-03  5.76631227e+00  4.90942230e-03  5.42721710e+00 
 4.97342230e-03  4.97342230e-03  4.97342230e-03  5.72462964e+00  4.97342230e-03  5.42059053e+00 
 5.03742230e-03  5.03742230e-03  5.03742230e-03  5.67961467e+00  5.03742230e-03  5.41388172e+00 
 5.10142230e-03  5.10142230e-03  5.10142230e-03  5.63129357e+00  5.10142230e-03  5.40713358e+00 
 5.16542230e-03  5.16542230e-03  5.16542230e-03  5.57969446e+00  5.16542230e-03  5.40037042e+00 
 5.22942230e-03  5.22942230e-03  5.22942230e-03  5.52484739e+00  5.22942230e-03  5.39360494e+00 
 5.29342230e-03  5.29342230e-03  5.29342230e-03  5.46678428e+00  5.29342230e-03  5.38684329e+00 
 5.35742230e-03  5.35742230e-03  5.35742230e-03  5.40553893e+00  5.35742230e-03  5.38008824e+00 
 5.42142230e-03  5.42142230e-03  5.42142230e-03  5.34114699e+00  5.42142230e-03  5.37334097e+00 
 5.48542230e-03  5.48542230e-03  5.48542230e-03  5.27364594e+00  5.48542230e-03  5.36660190e+00 
 5.54942230e-03  5.54942230e-03  5.54942230e-03  5.20307508e+00  5.54942230e-03  5.35987120e+00 
 5.61342230e-03  5.61342230e-03  5.61342230e-03  5.12947548e+00  5.61342230e-03  5.35314892e+00 
 5.67742230e-03  5.67742230e-03  5.67742230e-03  5.05288999e+00  5.67742230e-03  5.34643506e+00 
 5.74142230e-03  5.74142230e-03  5.74142230e-03  4.97336320e+00  5.74142230e-03  5.33972961e+00 
 5.80542230e-03  5.80542230e-03  5.80542230e-03  4.89094138e+00  5.80542230e-03  5.33303258e+00 
 5.86942230e-03  5.86942230e-03  5.86942230e-03  4.80567252e+00  5.86942230e-03  5.32634394e+00 
 5.93342230e-03  5.93342230e-03  5.93342230e-03  4.71760626e+00  5.93342230e-03  5.31966369e+00 
 5.99742230e-03  5.99742230e-03  5.99742230e-03  4.62679386e+00  5.99742230e-03  5.31299182e+00 
