,,,-1.9823350E-3,2.80000019,,,,,-1.9823350E-3,2.72000027,,,,,-1.9823350E-3,3.68000031,,,,,-1.9823350E-3,3.60000014,
,,,-1.9815669E-3,2.72000027,,,,,-1.9815669E-3,2.72000027,,,,,-1.9815669E-3,3.52000022,,,,,-1.9815669E-3,3.60000014,
,,,-1.9807988E-3,2.80000019,,,,,-1.9807988E-3,2.72000027,,,,,-1.9807988E-3,3.68000031,,,,,-1.9807988E-3,3.60000014,
,,,-1.9800309E-3,2.72000027,,,,,-1.9800309E-3,2.80000019,,,,,-1.9800309E-3,3.52000022,,,,,-1.9800309E-3,3.60000014,
,,,-1.9792628E-3,2.88000011,,,,,-1.9792628E-3,2.80000019,,,,,-1.9792628E-3,3.68000031,,,,,-1.9792628E-3,3.60000014,
,,,-1.9784947E-3,2.72000027,,,,,-1.9784947E-3,2.80000019,,,,,-1.9784947E-3,3.52000022,,,,,-1.9784947E-3,3.60000014,
,,,-1.9777266E-3,2.88000011,,,,,-1.9777266E-3,2.80000019,,,,,-1.9777266E-3,3.68000031,,,,,-1.9777266E-3,3.60000014,
,,,-1.9769587E-3,2.80000019,,,,,-1.9769587E-3,2.80000019,,,,,-1.9769587E-3,3.52000022,,,,,-1.9769587E-3,3.60000014,
,,,-1.9761906E-3,2.88000011,,,,,-1.9761906E-3,2.88000011,,,,,-1.9761906E-3,3.68000031,,,,,-1.9761906E-3,3.60000014,
,,,-1.9754225E-3,2.80000019,,,,,-1.9754225E-3,2.88000011,,,,,-1.9754225E-3,3.52000022,,,,,-1.9754225E-3,3.60000014,
,,,-1.9746544E-3,2.96000028,,,,,-1.9746544E-3,2.88000011,,,,,-1.9746544E-3,3.68000031,,,,,-1.9746544E-3,3.60000014,
,,,-1.9738865E-3,2.80000019,,,,,-1.9738865E-3,2.88000011,,,,,-1.9738865E-3,3.52000022,,,,,-1.9738865E-3,3.60000014,
,,,-1.9731184E-3,2.96000028,,,,,-1.9731184E-3,2.88000011,,,,,-1.9731184E-3,3.68000031,,,,,-1.9731184E-3,3.60000014,
,,,-1.9723503E-3,2.88000011,,,,,-1.9723503E-3,2.88000011,,,,,-1.9723503E-3,3.52000022,,,,,-1.9723503E-3,3.60000014,
,,,-1.9715822E-3,2.96000028,,,,,-1.9715822E-3,2.88000011,,,,,-1.9715822E-3,3.68000031,,,,,-1.9715822E-3,3.60000014,
,,,-1.9708143E-3,2.88000011,,,,,-1.9708143E-3,2.96000028,,,,,-1.9708143E-3,3.52000022,,,,,-1.9708143E-3,3.60000014,
,,,-1.9700462E-3,3.04000020,,,,,-1.9700462E-3,2.96000028,,,,,-1.9700462E-3,3.68000031,,,,,-1.9700462E-3,3.60000014,
,,,-1.9692781E-3,2.88000011,,,,,-1.9692781E-3,2.96000028,,,,,-1.9692781E-3,3.52000022,,,,,-1.9692781E-3,3.60000014,
,,,-1.9685100E-3,3.04000020,,,,,-1.9685100E-3,2.96000028,,,,,-1.9685100E-3,3.68000031,,,,,-1.9685100E-3,3.60000014,
,,,-1.9677421E-3,2.96000028,,,,,-1.9677421E-3,2.96000028,,,,,-1.9677421E-3,3.52000022,,,,,-1.9677421E-3,3.60000014,
,,,-1.9669740E-3,3.04000020,,,,,-1.9669740E-3,2.96000028,,,,,-1.9669740E-3,3.68000031,,,,,-1.9669740E-3,3.60000014,
